date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:20	244192/244192	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Apr%202024%2018:30:58%20GMT	http://pakasiatransportcompany.com.pk/img/logo.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/logo.png	(from http://pakasiatransportcompany.com.pk/)
14:19:28	195218/195218	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20May%202024%2008:32:59%20GMT	http://pakasiatransportcompany.com.pk/img/gallery-2.jpeg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/gallery-2.jpg	(from http://pakasiatransportcompany.com.pk/)
14:19:42	304198/304198	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Apr%202024%2005:50:08%20GMT	http://pakasiatransportcompany.com.pk/img/gallery-1.jpeg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/gallery-1.jpg	(from http://pakasiatransportcompany.com.pk/)
14:19:44	154922/154922	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20May%202024%2008:33:10%20GMT	http://pakasiatransportcompany.com.pk/img/gallery-3.jpeg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/gallery-3.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:18	203060/203060	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20May%202024%2008:32:49%20GMT	http://pakasiatransportcompany.com.pk/img/gallery-6.jpeg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/gallery-6.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:20	235581/235581	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20May%202024%2008:32:36%20GMT	http://pakasiatransportcompany.com.pk/img/gallery-5.jpeg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/gallery-5.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:21	19187/19187	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:02:52%20GMT	http://pakasiatransportcompany.com.pk/img/team-1.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/team-1.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:23	16513/16513	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:02:46%20GMT	http://pakasiatransportcompany.com.pk/img/team-2.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/team-2.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:24	16428/16428	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:02:36%20GMT	http://pakasiatransportcompany.com.pk/img/team-3.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/team-3.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:28	30503/30503	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:02:32%20GMT	http://pakasiatransportcompany.com.pk/img/team-4.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/team-4.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:35	67104/67104	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:32%20GMT	http://pakasiatransportcompany.com.pk/img/banner-left.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/banner-left.png	(from http://pakasiatransportcompany.com.pk/)
14:20:37	2740/2740	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:02:24%20GMT	http://pakasiatransportcompany.com.pk/img/testimonial-1.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/testimonial-1.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:38	3097/3097	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:02:20%20GMT	http://pakasiatransportcompany.com.pk/img/testimonial-2.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/testimonial-2.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:39	2466/2466	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:02:14%20GMT	http://pakasiatransportcompany.com.pk/img/testimonial-3.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/testimonial-3.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:40	2554/2554	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:02:04%20GMT	http://pakasiatransportcompany.com.pk/img/testimonial-4.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/testimonial-4.jpg	(from http://pakasiatransportcompany.com.pk/)
14:20:40	70103/70103	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:32%20GMT	http://pakasiatransportcompany.com.pk/img/banner-right.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/banner-right.png	(from http://pakasiatransportcompany.com.pk/)
14:20:43	14970/14970	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:44%20GMT	http://pakasiatransportcompany.com.pk/img/vendor-1.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/vendor-1.png	(from http://pakasiatransportcompany.com.pk/)
14:20:43	12858/12858	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:44%20GMT	http://pakasiatransportcompany.com.pk/img/vendor-2.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/vendor-2.png	(from http://pakasiatransportcompany.com.pk/)
14:20:45	10387/10387	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:44%20GMT	http://pakasiatransportcompany.com.pk/img/vendor-3.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/vendor-3.png	(from http://pakasiatransportcompany.com.pk/)
14:20:46	13067/13067	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:46%20GMT	http://pakasiatransportcompany.com.pk/img/vendor-4.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/vendor-4.png	(from http://pakasiatransportcompany.com.pk/)
14:20:48	16167/16167	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:46%20GMT	http://pakasiatransportcompany.com.pk/img/vendor-5.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/vendor-5.png	(from http://pakasiatransportcompany.com.pk/)
14:20:48	11210/11210	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:46%20GMT	http://pakasiatransportcompany.com.pk/img/vendor-6.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/vendor-6.png	(from http://pakasiatransportcompany.com.pk/)
14:20:50	11880/11880	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:46%20GMT	http://pakasiatransportcompany.com.pk/img/vendor-7.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/vendor-7.png	(from http://pakasiatransportcompany.com.pk/)
14:20:50	13145/13145	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:48%20GMT	http://pakasiatransportcompany.com.pk/img/vendor-8.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/vendor-8.png	(from http://pakasiatransportcompany.com.pk/)
14:20:55	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/PAKASIALIMO/code.jquery.com/jquery-3.4.1.min.js	(from http://pakasiatransportcompany.com.pk/)
14:20:55	80698/80698	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a5334e475209f965b4862f3bedf32618%22	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/PAKASIALIMO/stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.bundle.min.js	(from http://pakasiatransportcompany.com.pk/)
14:20:56	2303/2303	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2012:14:10%20GMT	http://pakasiatransportcompany.com.pk/lib/easing/easing.min.js	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/lib/easing/easing.min.js	(from http://pakasiatransportcompany.com.pk/)
14:20:58	9028/9028	---M--	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202017%2009:59:46%20GMT	http://pakasiatransportcompany.com.pk/lib/waypoints/waypoints.min.js	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/lib/waypoints/waypoints.min.js	(from http://pakasiatransportcompany.com.pk/)
14:21:03	605566/605566	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Apr%202024%2005:49:50%20GMT	http://pakasiatransportcompany.com.pk/img/gallery-4.jpeg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/gallery-4.jpg	(from http://pakasiatransportcompany.com.pk/)
14:21:04	42766/42766	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Feb%202017%2022:43:12%20GMT	http://pakasiatransportcompany.com.pk/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/lib/owlcarousel/owl.carousel.min.js	(from http://pakasiatransportcompany.com.pk/)
14:21:09	32832/32832	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Apr%202019%2009:27:36%20GMT	http://pakasiatransportcompany.com.pk/lib/tempusdominus/js/moment-timezone.min.js	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/lib/tempusdominus/js/moment-timezone.min.js	(from http://pakasiatransportcompany.com.pk/)
14:21:10	3025/3025	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20May%202021%2007:57:02%20GMT	http://pakasiatransportcompany.com.pk/js/main.js	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/js/main.js	(from http://pakasiatransportcompany.com.pk/)
14:21:11	4976/4976	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202017%2022:43:12%20GMT	http://pakasiatransportcompany.com.pk/lib/owlcarousel/assets/owl.video.play.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/lib/owlcarousel/assets/owl.video.play.png	(from http://pakasiatransportcompany.com.pk/lib/owlcarousel/assets/owl.carousel.min.css)
14:21:13	56879/56879	---M--	200	added ('OK')	application/javascript	date:Sat,%2006%20Oct%202018%2004:38:34%20GMT	http://pakasiatransportcompany.com.pk/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js	(from http://pakasiatransportcompany.com.pk/)
14:21:17	42674/42674	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:04:00%20GMT	http://pakasiatransportcompany.com.pk/img/bg-banner.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/bg-banner.jpg	(from http://pakasiatransportcompany.com.pk/css/style.css)
14:21:33	326657/326657	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Apr%202019%2009:24:44%20GMT	http://pakasiatransportcompany.com.pk/lib/tempusdominus/js/moment.min.js	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/lib/tempusdominus/js/moment.min.js	(from http://pakasiatransportcompany.com.pk/)
14:22:48	3054159/3054159	UR-M--	200	added ('Partial%20Content')	video/mp4	date:Sat,%2027%20Apr%202024%2019:26:56%20GMT	http://pakasiatransportcompany.com.pk/car_video.mp4	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/car_video.mp4	(from http://pakasiatransportcompany.com.pk/)
